initial_mode,states,Wind,GF,GFPRED,GFACT,kill_switch,modes,throttle,max_deviation,max_altitude,duration,final_landing_state,freefall_occurred,mission_complete
OFFBOARD,Takeoff,None,No,None,None,No,POSCTL,615.0,33.5511655655,0.0048495703,83.0,True,False,False
AUTO.LAND,Land,None,No,None,None,No,AUTO.LAND,None,0.09957328000000001,12.860156,81.0,True,False,True
AUTO.LAND,Land,None,No,None,None,No,OFFBOARD,600.0,0.15665334000000003,12.623736,74.0,True,False,False
OFFBOARD,Hover,None,No,None,None,No,POSCTL,550.0,14.263447798,12.603423,56.0,True,False,False
OFFBOARD,Flying,None,No,None,None,No,STABILIZED,0.0,1.368751915,12.853638,63.0,True,True,False
OFFBOARD,Flying,None,Yes,Yes,Return mode,No,OFFBOARD,0.0,0.10550180000000009,12.853386,81.0,True,False,True
OFFBOARD,Flying,None,No,None,None,No,POSCTL,550.0,0.2881264000000001,12.630627,69.0,True,False,False
OFFBOARD,Hover,None,No,None,None,No,AUTO.LAND,None,0.10241720000000001,12.893623,81.0,True,False,True
AUTO.LAND,Arm,None,No,None,None,No,STABILIZED,None,0.17475708000000004,12.630991,73.0,True,False,True
OFFBOARD,Flying,None,No,None,None,No,STABILIZED,0.0,34.533733160000004,2.1208732,16.0,True,True,False
AUTO.LAND,Land,None,No,None,None,No,AUTO.LAND,None,0.10168391000000002,12.843962,81.0,True,False,True
AUTO.LAND,Land,None,No,None,None,No,ALTCTL,550.0,0.1676516,12.616646,73.0,True,False,False
OFFBOARD,Flying,None,No,None,None,No,STABILIZED,None,14.2688421555,12.647907,52.0,True,True,False
OFFBOARD,Flying,None,No,None,None,No,ALTCTL,550.0,33.538071262,2.0571377,26.0,True,False,False
OFFBOARD,Flying,None,Yes,Yes,Return mode,No,POSCTL,0.0,23.663884000000003,4.817034,36.0,True,False,False
OFFBOARD,Flying,None,No,None,None,No,POSCTL,0.0,33.52009234,2.0640576,26.0,True,False,False
OFFBOARD,Takeoff,None,No,None,None,No,POSCTL,260.0,0.10369630000000002,12.859369,81.0,True,False,False
AUTO.LAND,Land,None,No,None,None,No,POSCTL,None,0.10791950000000003,12.862445,81.0,True,False,False
OFFBOARD,Hover,None,No,None,None,No,ALTCTL,600.0,14.257610882,12.572564,56.0,True,False,False
OFFBOARD,Hover,None,No,None,None,No,POSCTL,600.0,14.268444852599998,12.564903,56.0,True,False,False
AUTO.LAND,Land,None,No,None,None,No,POSCTL,615.0,0.09970282000000003,12.838668,81.0,True,False,False
OFFBOARD,Hover,None,No,None,None,No,AUTO.LOITER,None,0.1059133000000001,12.8267145,81.0,True,False,True
OFFBOARD,Hover,None,No,None,None,No,STABILIZED,615.0,14.818663299999999,12.540288,52.0,True,True,False
OFFBOARD,Flying,None,No,None,None,No,ALTCTL,615.0,33.5511733946,2.0583067,26.0,True,False,False
OFFBOARD,Takeoff,None,No,None,None,No,STABILIZED,None,0.10228293000000002,12.847959,81.0,True,False,True
AUTO.LAND,Land,None,No,None,None,No,OFFBOARD,0.0,0.18365979000000002,12.629104,73.0,True,False,True
OFFBOARD,Hover,None,Yes,Yes,None,No,OFFBOARD,None,0.09187610000000002,12.630254,73.0,True,False,True
OFFBOARD,Flying,None,Yes,Yes,Hold mode,No,OFFBOARD,None,0.13952699999999996,12.447375,73.0,True,False,True
OFFBOARD,Flying,None,Yes,Yes,Return mode,No,STABILIZED,None,25.336197,4.379333,22.0,True,True,False
OFFBOARD,Flying,None,Yes,Yes,Return mode,No,ALTCTL,None,23.35409,4.8235087,36.0,True,False,False
AUTO.LAND,Disarm,None,No,None,None,No,OFFBOARD,0.0,0.09968525000000003,12.8656435,81.0,True,False,True
OFFBOARD,Flying,None,No,None,None,No,POSCTL,615.0,14.88802643,12.579596,59.0,True,False,False
OFFBOARD,Flying,None,No,None,None,No,ALTCTL,615.0,14.260967877999999,12.656959,66.0,True,False,False
