timestamp,device_id,min_distance,max_distance,current_distance,variance,h_fov,v_fov,q[0],q[1],q[2],q[3],signal_quality,type,orientation
6979240000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6979296000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6979348000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6979400000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6979452000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6979504000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6979556000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6979608000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6979660000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6979712000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6979764000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6979812000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6979868000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6979920000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6979968000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6980024000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6980076000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6980128000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6980180000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6980232000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6980280000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6980336000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6980388000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6980440000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6980492000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6980544000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6980592000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6980648000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6980700000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6980748000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6980804000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6980856000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6980908000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6980960000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6981008000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6981064000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6981116000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6981168000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6981220000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6981272000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6981320000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6981376000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6981428000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6981480000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6981532000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6981584000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6981636000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6981688000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6981736000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6981792000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6981844000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6981896000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6981948000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6981996000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6982052000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6982104000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
